sample_index,wall_time_iso,elapsed_s,ros_time_s,role,pid,command,cpu_percent,cpu_percent_host,rss_mb,vms_mb,pss_mb,peak_rss_mb,threads,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,read_bytes,write_bytes,read_mbps,write_mbps
6,2026-05-02T15:45:13.971,2.635,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
6,2026-05-02T15:45:13.971,2.635,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,3.870,0.121,1909.062,6993.805,1897.038,1909.062,77,346,277,163766272,4096,0.000,0.000
7,2026-05-02T15:45:14.504,3.167,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,1.877,0.059,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
7,2026-05-02T15:45:14.504,3.167,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1909.062,6993.805,1897.038,1909.062,77,346,277,163766272,4096,0.000,0.000
8,2026-05-02T15:45:15.009,3.672,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
8,2026-05-02T15:45:15.009,3.672,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1925.016,6993.805,1912.991,1925.016,77,346,277,163766272,4096,0.000,0.000
9,2026-05-02T15:45:15.513,4.177,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
9,2026-05-02T15:45:15.513,4.177,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1925.016,6993.805,1912.991,1925.016,77,346,277,163766272,4096,0.000,0.000
10,2026-05-02T15:45:16.018,4.681,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
10,2026-05-02T15:45:16.018,4.681,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1940.973,6993.805,1928.948,1940.973,77,346,277,163766272,4096,0.000,0.000
11,2026-05-02T15:45:16.523,5.186,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
11,2026-05-02T15:45:16.523,5.186,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1940.973,6993.805,1928.948,1940.973,77,346,277,163766272,4096,0.000,0.000
12,2026-05-02T15:45:17.027,5.691,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
12,2026-05-02T15:45:17.027,5.691,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.983,0.062,1956.930,6993.805,1944.905,1956.930,77,346,277,163766272,4096,0.000,0.000
13,2026-05-02T15:45:17.544,6.207,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
13,2026-05-02T15:45:17.544,6.207,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1956.930,6993.805,1944.905,1956.930,77,346,277,163766272,4096,0.000,0.000
14,2026-05-02T15:45:18.058,6.721,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
14,2026-05-02T15:45:18.058,6.721,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1972.883,6993.805,1960.858,1972.883,77,346,277,163766272,4096,0.000,0.000
15,2026-05-02T15:45:18.572,7.235,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
15,2026-05-02T15:45:18.572,7.235,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1972.883,6993.805,1960.858,1972.883,77,346,277,163766272,4096,0.000,0.000
16,2026-05-02T15:45:19.088,7.751,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.727,628.996,9.026,19.727,12,281,1,7987200,4096,0.000,0.000
16,2026-05-02T15:45:19.088,7.751,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,1988.840,6993.805,1976.815,1988.840,77,346,277,163766272,4096,0.000,0.000
17,2026-05-02T15:45:19.603,8.266,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
17,2026-05-02T15:45:19.603,8.266,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.942,0.061,1988.840,6993.805,1976.815,1988.840,77,346,277,163766272,4096,0.000,0.000
18,2026-05-02T15:45:20.117,8.781,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
18,2026-05-02T15:45:20.117,8.781,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,1.944,0.061,2004.793,6993.805,1992.769,2004.793,77,346,277,163766272,4096,0.000,0.000
19,2026-05-02T15:45:20.633,9.296,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
19,2026-05-02T15:45:20.633,9.296,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,2004.793,6993.805,1992.769,2004.793,77,346,277,163766272,4096,0.000,0.000
20,2026-05-02T15:45:21.150,9.813,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
20,2026-05-02T15:45:21.150,9.813,,localization,119020,/home/roar-blacktank/DLIO_plusplus/install/gicp_localization/lib/gicp_localization/gicp_localization_node --ros-args --params-file /home/roar-blacktank/DLIO_plusplus/install/gicp_localization/share/gicp_localization/cfg/localization.yaml --params-file /tmp/launch_params_1l8nkt3a --params-file /tmp/launch_params_oca7a1d8 -r pointcloud:=/luminar_front/points -r imu:=/gps_bot/imu -r odom:=/odom -r localized_pose:=gicp/localization/pose -r localized_odom:=gicp/localization/odom -r localized_path:=gicp/localization/path -r aligned_cloud:=gicp/localization/aligned_cloud -r map:=gicp/localization/map,0.000,0.000,2020.746,6993.805,2008.722,2020.746,77,346,277,163766272,4096,0.000,0.000
21,2026-05-02T15:45:21.665,10.328,,robot_state_publisher,119018,/opt/ros/iron/lib/robot_state_publisher/robot_state_publisher --ros-args -r __node:=robot_state_publisher --params-file /tmp/launch_params_2z_eb14y,0.000,0.000,19.730,628.996,9.030,19.730,12,281,1,7987200,4096,0.000,0.000
